classifier,train_score,test_score,Aspergillus_score,Candida_score,Fusarium_score,Penicillum_score
Logistic Regression,0.99732,0.976537987451455,0.979178705529628,0.9998512907091684,0.9302106263885428,0.9969113271784804
Neural Net,0.99991,0.9712590503783104,0.9214802683575924,0.9999912523946568,0.9726739841076976,0.998248627426924
RandomForest,1.0,0.9706017565011618,0.8960852856805985,1.0,0.9863217403240484,1.0
Neural Net,0.999975,0.9539364571264436,0.869031855155311,1.0,0.960218404770741,0.9983989203447536
SVM,0.999904,0.9518015137935844,0.8529241804287606,1.0,0.9679357800497206,0.998668834156366
Decision Tree,1.0,0.9350503724127804,0.7610358043342498,0.993821274759368,0.9853812169863598,0.9999631935711436
